0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:18 +0900] "GET /Semi/imgProd/7_clearj_Check%20kids%20bear(%EC%A0%A4%EB%A6%AC).jpg HTTP/1.1" 200 82780
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:22 +0900] "GET /Semi/board/product/content.sa?boardNo=3&idx=48&prodcode= HTTP/1.1" 200 33142
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:22 +0900] "GET /Semi/images/none HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:22 +0900] "GET /Semi/images/pexels-photo-3107165.jpeg HTTP/1.1" 404 1160
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:22 +0900] "GET /Semi/board/product/commentList.sa?revidx=48 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:27 +0900] "GET /Semi/board/product/content.sa?boardNo=3&idx=45&prodcode=123-307 HTTP/1.1" 200 33893
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:27 +0900] "GET /Semi/images/none HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:27 +0900] "GET /Semi/board/product/commentList.sa?revidx=45 HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:43 +0900] "GET /Semi/product/list.sa?cateno=3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:18:22 +0900] "GET /Semi/product/detail.sa?prodcode=123-307&cateno=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:18:38 +0900] "GET /Semi/mainPage.sa HTTP/1.1" 200 34115
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:18:40 +0900] "GET /Semi/product/detail.sa?cateno=1&prodcode=123-049 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:18:46 +0900] "GET /Semi/product/detail.sa?cateno=1&prodcode=123-049 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:20:01 +0900] "GET /Semi/product/detail.sa?cateno=1&prodcode=123-049 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:20:27 +0900] "GET /Semi/product/detail.sa?cateno=1&prodcode=123-049 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:21:18 +0900] "GET /Semi/product/detail.sa?cateno=1&prodcode=123-049 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:21:34 +0900] "GET /Semi/product/detail.sa?cateno=1&prodcode=123-049 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:21:48 +0900] "GET /Semi/product/detail.sa?cateno=1&prodcode=123-049 HTTP/1.1" 200 42876
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:21:48 +0900] "GET /resources/demos/style.css HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:21:48 +0900] "GET /resources/demos/external/jquery-mousewheel/jquery.mousewheel.js HTTP/1.1" 404 1194
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:21:48 +0900] "GET /Semi/imgProd/49_hard_dancing%20bear-blue.jpg HTTP/1.1" 200 100435
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:21:48 +0900] "GET /Semi/images/btn_cart.png HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:21:48 +0900] "GET /Semi/imgProd/hard49.jpg HTTP/1.1" 200 669571
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:21:48 +0900] "GET /Semi/images/btn_wish.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:21:48 +0900] "GET /Semi/images/copy-1561715128-ECA3BCEBACB8EC8B9CED9584EB8F85EC82ACED95AD28ECBBACEB9FACECA0A4EBA6ACECBC80EC9DB4EC8AA429.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:21:48 +0900] "GET /Semi/images/btn_list.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:21:48 +0900] "GET /resources/demos/style.css HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:21:48 +0900] "GET /resources/demos/external/jquery-mousewheel/jquery.mousewheel.js HTTP/1.1" 404 1194
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:22:54 +0900] "GET /Semi/member/login.sa HTTP/1.1" 200 22927
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:22:54 +0900] "GET /Semi/images/btn_login.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:22:54 +0900] "GET /Semi/images/btn_join.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:23:01 +0900] "GET /Semi/mainPage.sa HTTP/1.1" 200 34115
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:23:12 +0900] "GET /Semi/board/product/list.sa?boardNo=2 HTTP/1.1" 200 42267
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:23:40 +0900] "GET /Semi/member/login.sa HTTP/1.1" 200 22927
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:23:45 +0900] "POST /Semi/member/loginEnd.sa HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:24:21 +0900] "GET /Semi/member/loginEnd.sa HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:24:26 +0900] "POST /Semi/member/loginEnd.sa HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:24:54 +0900] "GET /Semi/member/loginEnd.sa HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:24:58 +0900] "GET /Semi/member/login.sa HTTP/1.1" 200 22927
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:25:13 +0900] "POST /Semi/member/loginEnd.sa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:25:13 +0900] "GET /Semi/mainPage.sa HTTP/1.1" 200 34121
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:25:18 +0900] "GET /Semi/product/detail.sa?cateno=3&prodcode=123-110 HTTP/1.1" 200 42928
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:25:18 +0900] "GET /resources/demos/style.css HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:25:18 +0900] "GET /resources/demos/external/jquery-mousewheel/jquery.mousewheel.js HTTP/1.1" 404 1194
