127.0.0.1 - - [24/Mar/2020:18:46:16 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:46:29 +0900] "GET /Semi/mainPage.sa HTTP/1.1" 200 34115
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:46:30 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:37 +0900] "GET /Semi/product/list.sa?cateno=3 HTTP/1.1" 200 29480
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:38 +0900] "GET /Semi/product/detail.sa?cateno=3&prodcode=123-149 HTTP/1.1" 200 42884
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:38 +0900] "GET /resources/demos/style.css HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:38 +0900] "GET /resources/demos/external/jquery-mousewheel/jquery.mousewheel.js HTTP/1.1" 404 1194
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:39 +0900] "GET /resources/demos/style.css HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:39 +0900] "GET /Semi/imgProd/clearj49.jpg HTTP/1.1" 200 129459
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:39 +0900] "GET /resources/demos/external/jquery-mousewheel/jquery.mousewheel.js HTTP/1.1" 404 1194
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:42 +0900] "GET /Semi/board/product/list.sa?boardNo=2 HTTP/1.1" 200 39038
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:43 +0900] "GET /Semi/product/detail.sa?prodcode=123-058&cateno=2 HTTP/1.1" 200 45665
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:43 +0900] "GET /resources/demos/external/jquery-mousewheel/jquery.mousewheel.js HTTP/1.1" 404 1194
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:43 +0900] "GET /resources/demos/style.css HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:43 +0900] "GET /resources/demos/external/jquery-mousewheel/jquery.mousewheel.js HTTP/1.1" 404 1194
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:49 +0900] "GET /Semi/member/login.sa HTTP/1.1" 200 22927
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:53 +0900] "POST /Semi/member/loginEnd.sa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:53 +0900] "GET /Semi/mainPage.sa HTTP/1.1" 200 34121
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:55 +0900] "GET /Semi/board/product/list.sa?boardNo=2 HTTP/1.1" 200 39056
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:56 +0900] "GET /Semi/product/detail.sa?prodcode=123-058&cateno=2 HTTP/1.1" 200 45685
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:56 +0900] "GET /resources/demos/style.css HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:56 +0900] "GET /resources/demos/external/jquery-mousewheel/jquery.mousewheel.js HTTP/1.1" 404 1194
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:56 +0900] "GET /resources/demos/style.css HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:58:56 +0900] "GET /resources/demos/external/jquery-mousewheel/jquery.mousewheel.js HTTP/1.1" 404 1194
